IdReporte;CodigoPdv;NombrePdv;TiempoPos;TiempoTotal
22;268;PLUS No. 2 COUNTRY;02/07/2015 13:20;62
22;237;COUNTRY 2;02/07/2015 13:23;17
22;268;PLUS No. 2 COUNTRY;02/07/2015 13:48;33
22;268;PLUS No. 2 COUNTRY;02/07/2015 13:50;131
22;237;COUNTRY 2;02/07/2015 13:57;0
22;268;PLUS No. 2 COUNTRY;02/07/2015 14:01;11
22;268;PLUS No. 2 COUNTRY;02/07/2015 14:46;29
22;268;PLUS No. 2 COUNTRY;02/07/2015 14:52;66
22;268;PLUS No. 2 COUNTRY;02/07/2015 15:10;44
22;229;HEROES 1;02/07/2015 15:36;102
22;268;PLUS No. 2 COUNTRY;02/07/2015 15:43;38
22;268;PLUS No. 2 COUNTRY;02/07/2015 15:45;46
22;229;HEROES 1;02/07/2015 15:48;173
22;237;COUNTRY 2;02/07/2015 15:50;161
22;229;HEROES 1;02/07/2015 16:15;34
22;268;PLUS No. 2 COUNTRY;02/07/2015 16:24;56
22;229;HEROES 1;02/07/2015 16:50;75
22;229;HEROES 1;02/07/2015 16:50;82
22;268;PLUS No. 2 COUNTRY;02/07/2015 17:00;53
22;268;PLUS No. 2 COUNTRY;02/07/2015 17:05;16
22;268;PLUS No. 2 COUNTRY;02/07/2015 17:40;29
22;268;PLUS No. 2 COUNTRY;02/07/2015 17:47;38
22;237;COUNTRY 2;02/07/2015 17:55;52
22;237;COUNTRY 2;02/07/2015 17:57;60
22;229;HEROES 1;02/07/2015 17:58;60
22;237;COUNTRY 2;02/07/2015 17:58;63
22;237;COUNTRY 2;02/07/2015 18:18;92
22;229;HEROES 1;02/07/2015 18:27;67
22;268;PLUS No. 2 COUNTRY;02/07/2015 18:33;66
22;229;HEROES 1;02/07/2015 18:35;52
22;268;PLUS No. 2 COUNTRY;02/07/2015 18:40;63
22;268;PLUS No. 2 COUNTRY;02/07/2015 18:42;37
22;268;PLUS No. 2 COUNTRY;02/07/2015 18:50;165
22;229;HEROES 1;02/07/2015 18:51;29
22;229;HEROES 1;02/07/2015 19:06;56
22;237;COUNTRY 2;02/07/2015 19:11;37
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:12;38
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:20;34
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:24;29
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:25;29
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:35;22
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:36;24
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:42;52
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:48;8
22;237;COUNTRY 2;02/07/2015 19:53;39
22;268;PLUS No. 2 COUNTRY;02/07/2015 19:53;46
22;268;PLUS No. 2 COUNTRY;02/07/2015 20:02;12
22;268;PLUS No. 2 COUNTRY;02/07/2015 20:04;69
22;237;COUNTRY 2;02/07/2015 20:11;46
22;268;PLUS No. 2 COUNTRY;02/07/2015 20:32;44
22;229;HEROES 1;02/07/2015 20:38;79
22;237;COUNTRY 2;02/07/2015 20:38;77
22;268;PLUS No. 2 COUNTRY;02/07/2015 20:44;69
22;268;PLUS No. 2 COUNTRY;02/07/2015 20:50;55
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:06;74
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:08;80
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:15;50
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:20;98
22;229;HEROES 1;02/07/2015 21:20;70
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:27;95
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:37;43
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:41;56
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:46;60
22;268;PLUS No. 2 COUNTRY;02/07/2015 21:50;79
22;268;PLUS No. 2 COUNTRY;02/07/2015 22:24;33
22;268;PLUS No. 2 COUNTRY;02/07/2015 22:58;12
22;268;PLUS No. 2 COUNTRY;02/07/2015 22:59;40
22;268;PLUS No. 2 COUNTRY;02/07/2015 23:09;42
22;268;PLUS No. 2 COUNTRY;02/07/2015 23:46;32
22;268;PLUS No. 2 COUNTRY;03/07/2015 00:54;18
22;268;PLUS No. 2 COUNTRY;03/07/2015 01:17;15
22;268;PLUS No. 2 COUNTRY;03/07/2015 02:16;12
22;268;PLUS No. 2 COUNTRY;03/07/2015 03:48;161
22;268;PLUS No. 2 COUNTRY;03/07/2015 04:31;143
22;268;PLUS No. 2 COUNTRY;03/07/2015 05:45;77
22;268;PLUS No. 2 COUNTRY;03/07/2015 05:46;88
22;268;PLUS No. 2 COUNTRY;03/07/2015 05:46;92
22;268;PLUS No. 2 COUNTRY;03/07/2015 05:47;88
22;268;PLUS No. 2 COUNTRY;03/07/2015 06:17;94
22;268;PLUS No. 2 COUNTRY;03/07/2015 07:09;38
22;268;PLUS No. 2 COUNTRY;03/07/2015 07:11;12
22;268;PLUS No. 2 COUNTRY;03/07/2015 07:43;25
22;237;COUNTRY 2;03/07/2015 07:47;42
22;229;HEROES 1;03/07/2015 08:04;83
